	No.	Sentence	label1	label2
1801	2226	main aap ka bohut bade fan hu aap to sab ka help karta hai mera bhi 1 help kardena bhai plz bhai mujhse baat karna i miss u bhai	1	1
2306	2749	hi salman vai......	1	1
2555	3030	Ok tjeek hai nhi aanahai to bta to.do sir	1	1
790	1007	Salman handsome king	2	2
2267	2709	wt hapen ab mt bolna 5bje krenge bat	1	1
3805	4829	sallu bhai apka fan bangladesh me plz cal +8801719447771 met u all news share me all time plz cal sallu bhai jai ho	2	2
2148	2581	kya bath hai mere dost kay apmere sath film karoge	1	1
3042	3944	Salman se baat karne ke liye taqdirwala honi chahiye	1	1
2515	2980	abhi tak nahi aye salman bhai online?	1	1
1576	1986	chor sale marja tu kutte haramke suwwar.	0	0
1033	1319	@bhupendra panwar...tu pakistan kyu ni chala jata 5 saal k liye..?	1	1
1568	1978	Bhai 3:30 to kab ke ho gye....aap kha ho pls syd aapka ye mgs aana bhagwan b chahte hai ki aap ek bar meri help karo...pls bhai pls I need ur help pls talk to u pls	1	1
2728	3362	Kitna wait kervaoga	1	1
1950	2379	3:53 now	1	1
637	827	mast ha salman khan sir songs	2	2
2746	3399	Han masjid main, ajana tum sab bhi....	1	1
2907	3761	Pagalo aa gae bus chalo ghus jao bus me jiyada aur rahy yaha to phir apka koi ilaj nhi	0	0
1411	1792	Priyanka Kunwar beautiful beautiful beautiful ! kasto ramrailo gana. Love salman, can't wait to see bhaijaan??	2	2
3878	4981	awssmmm movie salman sirrrr super salman sirrrr	2	2
176	243	Chankya ne kha hai .. Agar aapko ek kadam aage badhna hai to pahle 10 kadam piche rakho	1	1
2121	2554	Salman ji wakai aap h ki koi fraud bnata h humlogo ko 4 bj gae h	0	0
3654	4630	aapki movie 350 crore kamai karegi	2	2
1976	2406	howz it possibleee.. and ksee bhai jan	1	1
2019	2451	bhai apke is blockbuster movie bajrangi bhaijaan ke bare me kuch gadhe na jane kya kya bakbas kr rahe hai aur ahmedabad me to movie ki release pr ban lagane ke liye appeal bhi ki hai ap kya kahoge bhai	1	1
1321	1679	Lagta he gar wapsi ho rhi he bajrangi bhi bhaijaan lagane lag gaye	1	1
1516	1925	Jumme ki Shayam bhai k sath	1	1
1196	1533	love yu bhai jaan,,,,,I like yu,,,,,I love yu bhai jaan,,,,,,nice song so sweet handsome parsnalti	2	2
1965	2394	sachi salman hm to din se wait me hai ki apse baat kar pay	1	1
1330	1689	my favirat hero salman khan	2	2
2459	2916	abhi tk kyu nhi aye aap salman sir??$$$$ dieing to tlc to u.......	1	1
1082	1381	Bahut bahut badhai ho bhai jaan aapki aane wali flim me hum logo ka sabka subh kamnaye.he	2	2
468	649	Salman bhai agar aap ne apni movie mein Babbu maan ka song le liya to kam se kam 20 laakh fan ek din mein jyada ho jayenge	2	2
2834	3644	Na kro yr cmnts plz frnds	2	2
3497	4421	Love uuuuuuuuuuuuuuuuuuuuuuuuuuuu bajrangi bhaijaan	2	2
2287	2730	Star logon ke nakhre yaho hote hai abhi inka 4 nahi baja	1	1
85	116	Duniya ki technology lane par hi dess ka vikas hoga	2	2
1351	1714	bhai 4 baj gye	1	1
2230	2666	Arrrey kmaal krtey ho Hm sb wait kr rhey h	1	1
3772	4784	i love salman sir mera no 7535964415 ap ka bahutt tagda fenss hu i love yy	2	2
2077	2509	4 bhj gye lekin salman bhai kider hai	1	1
2322	2766	Bro ap to baat karo 4:00 kap tak baj gya	1	1
2987	3871	Agar Salman khan musalman h to allah se toba kare or apne gunaho ki mafi mange nhi to dunya me bhi usko koi jagah nhi milegi or aankhirat me bhi	0	0
821	1053	Rfta rfta dakho akh mari kadi h akh jisa lgi mera samna vo khda h i love you salman ji???????????	2	2
2079	2511	salman 4 bja gye	1	1
2302	2745	bhai helo hi bol do...	1	1
2599	3101	dSir kya mujh gareeb ko aik reply melay ga plz ....?	1	1
1898	2326	Lv u bhai mere salman bhai	2	2
1234	1578	Bhai jakaass bhai insallha super hit. ...	2	2
1381	1751	Bhai cross 700cr pts increse	2	2
150	209	Kabhi SUBHAS CH Bose & Bhagat Singh ki bhi baat kiya karo sirji....Jisne desh k tukde kar diye us aadmi (Gandhi) ki murti anvaran karte phir raheho @ narendra modiji	0	0
2048	2480	Bhai 4 bajgaye yr.... Ek baar plz	1	1
2664	3222	Watch kharaab hai kya apki???  :'( :'(	1	1
751	952	Galt baat ke muslmano kai khilaf ovisey ka sath de na de.....galt q bola...?	0	0
707	899	Kute ka bacha hai	0	0
3643	4616	Mai tho supper man salmaan ka fan Jo leve panga kardo ma bhean I'd Mubarak sir	2	2
815	1044	bajrangi veer putra dal de	2	2
274	400	Pm ky sath videsh mantri bhi h modi	1	1
3322	4243	kitny farigh log ho yar kyn requests bhej ry ho	1	1
1892	2320	Bahi main ne ap sy boht zarori bat karni hai @BeingSalmanKhan	1	1
2104	2536	bhaiiiiiii kaha ho????	1	1
1815	2241	man ki bat ya dill ki bat......?	1	1
3511	4435	Tu madharchod hai	0	0
887	1143	Khan bole tho salman khan, dil tadap ra bhaijaan ke liye	2	2
2491	2951	kuchh kam hoga re un ko bhi	1	1
143	199	india kbhi bhi china ko peeeche nhi kr paaega.....	0	0
1182	1514	Salman khan rock .	2	2
3398	4320	eid ki part meri traf sye bhaijaan	1	1
2290	2733	sone do ...aajayenge apne aap	1	1
2805	3604	Sala kutta kamena amara time west kara tia salman	2	2
1337	1698	sir ji itna wait q karwa rhe ho	1	1
2701	3309	I mean I am thinking dat ki prdp tak yaha hi rul jaau ok?? So plz 1 reply for plzzzzzzzzzzzzzzzzzzzz?? I am ur die hard fan bhai plzzzzz	1	1
1773	2197	Ek baar commitment kardi 4:00pm phir kisiki nhi sunnte :)	1	1
2433	2890	salman bahi uar best	2	2
1383	1757	es yearss ki super doper film bajrangi bhaijan	2	2
3720	4719	supperrb salman khan..	2	2
456	635	Bollywood bhi swachch kara do wo to abhi bhi nanga hi hai...	0	0
1202	1540	Jo sachcha musalman hoga vo iski movie nahi dekhega bhai kyu k isne muslamano ko chalange kiya hai so mai to nahi dekhunga jiski jo marzi bhai	0	0
3075	3984	Ye musalman jab HINDUO se dosti karni hoti hai ya meljol karna hota hai to shirt-pant aur bina topi ke aate hain....Aur jab hinduo se tanaav hota hai to kurta pazama aur topi lagakar aate hain aapne bhi dekha hoga...Aisa kyo???	0	0
1788	2213	bhaijaan kaha ho	1	1
1482	1887	Shailly salman bhai online aaenge 3:30 baje Dkhte tujhy rply krenhe ki mujhy :p	1	1
1390	1765	Me aapki pic ke liye dua karugi ke soper doper hits jye ..	2	2
3735	4739	Super hai bhai suraj is rocking	2	2
1086	1387	Nice song aaj ki patry meri tarf se	2	2
289	429	Sir,kuch apne desh me bhi ghoom liya jaye, kahin bijli to kahin pani,aur kahin road hi nahi haiAchhe din jab aayenge aate rahenge,aap to aao	0	0
3619	4588	Salman Khan Tum Kafir ho Muslim larki ko bagatai ho sharam karo aj be teezi see pilnai wala Religion islam hai	0	0
3024	3920	Bhaijaan plz tell plz bhai one comment	2	2
3020	3914	bajrangi bhai jan ke liye dil se subhkamnaye sir	2	2
177	246	PM ji ne toh poore vishwa mein ye saabit kar diya hai ki India sab ke sath badhega.	2	2
2667	3235	Aapne apna commitment nhi nibhaya Aapka dilouge wrong hai	0	0
1895	2323	abe chirkut logo thoda hawa to aane do itna bheed lga k rkha h chalo baccha log sb shanti se baith jao koi shor nhi machayega bhai aap ek ek krke sb se milo	1	1
3369	4290	To hum kya karay	1	1
1160	1483	Salman mere jaan muuuhhhhhhaaa	2	2
3711	4710	Hii very nice... Salman sir apko meri taraf se eid ki bahat bahat subhkamnayen.....	2	2
2669	3240	Salman khan on instagram	1	1
3722	4722	dekh liya bhaijaan.. mast h	2	2
237	341	Mee atalji ko bahat pasand kiya tha. Unka adarsh great tha. Uske bad app ayee sir i salute you	2	2
853	1093	Kaum ke gaddaro ke sath parti nahi krte hum	0	0
2759	3429	hey salman bhai , agar aap actor na hote to kya hote?	1	1
2445	2902	or kitni 4...,	1	1
3265	4184	sir ap roja rakte ho	1	1
1128	1443	Bohot accha hai . Aaj ki party mari taraf se , sab ko bolo utre flak se . Nice	2	2
2437	2894	Salman best of luck for bajrangi bhaijan....iss baar bhi sare record tod degi...inshallah	2	2
1756	2179	Hame to 17 ki whit hai	1	1
593	781	Swachchh bharat aviyaan ke liye danyabaad....	2	2
1893	2321	Bhai ne ek barr commitment kar di to wo fir kisiki nahi sunte	1	1
1442	1830	Ye bv film bohot hit hoga jaan	2	2
1508	1917	acha h bhai	2	2
1059	1352	Bhai mujhe aapke sath acting karni hai main bhai aapke ghar ka kaam bhi kar doonga bhai mujhko mumbai le chalo bhai bhai plz bhai	1	1
1662	2078	salman sir apke being human trust ki small cities me bhi requirement hai ..pls. jitni jyada ho sake utne logo ke madad kejiye....and BAJRANGI BHAIJAAN Ki JAI HO.	2	2
1676	2094	loveeeeeee uuuuuuu yaar thak gai tum hi reply	2	2
2035	2467	bahi 4 baj gaye praty abhi baki hai	1	1
2893	3743	live india pat baat kar rahe hai vo	2	2
2164	2597	Sallu bhai so. gyee kyaaa	1	1
1769	2193	hy sir kese ho aap ?	1	1
3007	3900	bhaijaan ed mubark.	1	1
1102	1409	bhai party ke liye abke sab frnd tayar hain...!!	1	1
3036	3935	lol admin atention seeker h jante bujhte post dala ki coment mile >_<	0	0
3308	4229	Aap ne aisa kaha ho ya na kaha ho i dont care but me Aap ka har ek movie dekhta hu dekhu ga aur hamesha dekh ta hi rahu ga. Love u bhai jaaannn..	1	1
2529	2997	han #nadim_shaikh ki amma aaegi..	1	1
1026	1312	Pk?????......agar bhagwan ko pujne ke liye ek chhoti si murti ki jarurat ni hai to tum bahanchod hizdo ko itne bade maszid ki kya jarurat hoti hai DHILE LAND KI PAIDAISHO???	0	0
229	325	Ise share karo plz	1	1
2092	2524	4 bje gae lekin bhaijan ka abhi ana baaki h	1	1
1301	1658	Sab ko Jana hai uper ok is liye apna dakho salman nahi aaya ga ok aur vo to dog hai na Muslim hai na Hindu hai na vo insan hai sif dog hai ok bye bye	1	1
3761	4770	Yar pooja kya ho gya ha aise bat ni krte	0	0
425	601	Wo sab toh theek hai .. But yeh green apple mojito k saath Ras malayi kisne mangayi ??	1	1
1927	2355	4bje to m gf ke sath ghumne jaunga ..m baat ni kr paunga	1	1
3598	4544	salu bhi i your biggest fan jai bajrangi bhaijaan	2	2
3475	4399	Bhai don't worry	1	1
2312	2755	i cnt wait moree plzzzz comee :(	1	1
936	1203	chup baith zaleel tu musalman nahi hai aur tu ek c***tiya hai mada****d	0	0
3708	4703	faddu trailer bhaijaan. ...	2	2
1633	2046	Bhi my ap ke hr movie boht shok sy dekhta ho or ap ke movie ka wait krta ho	2	2
2745	3398	next time bhai ke commitment ka wait karta hu. sayad aaj kuch jada bz hn juma h na. Love you bhaijan. khuda hafiz	1	1
539	722	Salman sir. Me apse milna chahta hu plz mujhe apointment dijiye me realy aapse milna chahta hu plz	1	1
159	218	Modiji to apne desh ko aage le jane ke liye bhut kuch kr rhe hai ab desh ke youngest ko jag ne ki bari hai ..... jay hind	2	2
978	1251	Bajarangi film flop hogiii salman ki. Maaa bahen hoo gii saaaalaaaa chotiya	0	0
3367	4288	aise nahi bolte sar ko....	0	0
618	808	what loook bhai jaan	2	2
3192	4110	aur salman bhai movie to chootiya se bani aapne	0	0
1101	1408	hi salman Bajrangi bhaijan	1	1
641	831	Main aapka bahut bada fan hu	2	2
82	113	Modi ji ek aisa star hai wo jaroor India ka star badlega kya khete ho mera bhayio or bheno	2	2
0	1	Ye song nahi hi Ye MODI Ji ka mehnat ka rang hi wo ek din pura world me dikhe ga ye to sirf Turkmenistan. hi hai.. Great MODi ji	2	2
472	653	i love ur film joi ho bhai hope ur flim bajrangi bhaijan	2	2
3301	4222	Ese he baiya bajrangi.,	1	1
183	254	Modi ji aap aage bado hum tumhare shath he..	2	2
1951	2380	bhai tho meeting nahi cancel kartha agar committment de deha	1	1
2496	2956	Bhai aap apna number dijiye salman bhai	1	1
1304	1661	slam malikam salman	1	1
1125	1440	vry vry beautiful song. ..	2	2
946	1215	Eid ki party kahape milu bhai	1	1
2369	2817	Main apse milna chahta hun	1	1
1035	1321	aur har bhade ke tattuo se comment karwane wala har SALMAN KHAN musalmaan hota hai	0	0
3521	4449	Pori dunya tumhari fan nahi hai to ziyada ochlo mat agar tum harai fan ho to wo sirf india or pakistan ho ga ya pir AK or mulk pori dunya nahi Mari sister tumhai pehlai like krtiti per ab nahi she is right you are salfish	0	0
285	420	great modi ji	2	2
3494	4418	jay jay bajrngi bhai jaan	2	2
2429	2885	luv u sallu..:-*	2	2
1488	1895	bhi aapke movie ka besabri se wait kr rha hu aur mera aasa hai ki iss sal recod tut jayega...	2	2
869	1114	bhai iftaar farty hai kya?	1	1
1923	2351	salman sir plz 5:00 pm kar dou plz 4:00 pm mein nai baat kar saku gi aapse plz sir plz	1	1
2341	2786	Ab aa jao sir 4 bj gye hm wait kr rhe h	1	1
58	76	Jai hind modi sir	2	2
3701	4696	hi salman bhaijhan eid mubarak aap ki movie achi chalegi i like u	2	2
501	682	kya baat hain	2	2
1212	1551	Kya bhai hum jab Bussy ho tab hi aap online honge..... plz hamara bhi socho..... night me sab free hote he.	1	1
2611	3119	bhai mujhe aapki film bajrangi bhaijaan ke gaane bhaut pasand  aye	2	2
462	643	Kya yar hum Milne aaye or aap to mile hi nhi	1	1
2036	2468	1 min bhaai	1	1
3025	3922	hi  bhai  main  bhi  ek  actor  banna  chahta  hoon  bhi	1	1
2906	3757	hlo  salman sir	2	2
1513	1922	Ramzan ke mahine me film nikalta hai tum kamiyab kaise hoge	1	1
2099	2531	Bhai life mera sirf ek hiii khawb hai... Apke. Sath ek selfieee bhai	2	2
1693	2112	aur galti tumhari nahi hai pyar koi karta nahi ho jata hai tumhe hua hi nahi mai isliye milne ke liye gidgidate rahti hun tumhe koi phark nahi padta	1	1
999	1278	M aapko mis kar rha bhaiya kab aayega big boss plz reply karna	1	1
1217	1558	Harami kanjer insaan	0	0
3751	4758	Agar tu asli mard ka bacha hoga toh jawab jarur dena	0	0
1601	2013	Aapko itni cmnts aayegi.. Aap toh reply b ni kroge..	1	1
3164	4082	Salmaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaan ajhooo 4 ghanto se apka wait kar rahi hu	1	1
3170	4088	Mera beta aap ko bahot pasand krta hai	2	2
1775	2199	Tm ho koun? Asaduddin owaisi sahab ne tmhri aukat dikha di.. abhi b tmko samjh nhi aaya	0	0
3445	4368	bhai mein aur hamara kolkata ke sabhe log appka film zarur dekhaga	1	1
1163	1487	theek hai mujhe to lagta hai main ye film dekh chuuka hu sabhi loog iss film ko apne aap se relate karenge	1	1
2213	2648	hii.....salman bhai	1	1
3600	4550	mai apka ek chota sa fain hu	2	2
3078	3989	Salman Sir EK reply toh de de bhaijaan	1	1
2410	2865	Bhai kuch to bta	1	1
1496	1904	You better reply me Salman! twitter par nahi toh yahan toh pakka Reply karna padhega lol	1	1
2732	3371	Bhai ...wait kar rahe h hum sab...time btaoo yaar	1	1
3485	4409	Salman sir aapki movie hit hogi	2	2
2284	2727	Sir it's 4.o6pm	1	1
2069	2501	1min jyada hogya bhai aao na	1	1
3674	4654	Bahut galat kiya aapne salman bhiya muslimo k khilaf gye h ap	0	0
110	155	Great PM sahab yeh sab only hmare modi ji hi kar skte h	2	2
762	965	Chutiya no 1......jo apne dharam ki nahi ho saka o kisi bhi dharam ka nahi......kehte hai na log k..jo khud ko pyar nahi karta o kisiko bhi pyar nahi karta	0	0
2053	2485	hlw salman sir.	1	1
3190	4108	Ae fake salman Khan he Salman khan aur tiger khan ek adme he jo 2 2 accout use ker rha he sassery ne time wast ker deya	0	0
1255	1603	SULTAN ALI KHAN SE	1	1
484	665	teri picture dekhne jao nah maja a aajaatah hai such iiiiiiii	2	2
2487	2946	Bhai me aap ke film ka intajar kar raha hu	1	1
3422	4344	I'm wid u	2	2
2847	3665	kamaal karte ho Q intzar kra rhe ho	2	2
3704	4699	I wsh u a vry vry hppy eid mubarak.	2	2
3314	4235	U r absolutely right bhai aap aisa kbhi bayan hi nai desakte muslim k khilaaf yeh sab apko badnam karne ki aur apki image ko kharab karne planning. Hope inshallaha police jald se jald inn dhokebaaz logon ko giraftaar karle.	0	0
2567	3056	sir me aapke apartment ke bhar 7 din se morning to eve khada tha aap ko dekhne pr me dekh nhi paya	1	1
1764	2188	Salman bhai still waiting 3:30 baj gaye hai	1	1
2721	3353	bhai allah hafiz namaz ka waqt hone waala hai hum ja rahe hai.. par bhai aapse ek choti si reqwest hai aap agar chat karne aao to pls mujhe na bhul jaana...	1	1
2254	2694	sayed app busy ho..kohi bat nhi hum samj te he	1	1
2217	2653	kaha h bhai jann	1	1
2446	2903	Arey saab apse to hmm ptivate mai milunga?	1	1
1487	1894	Salman bhai jan aap ne to bahot badi bat bol dali he ki meri film musalmani ke bena hit krke dikhauo ga .... ab aap bol rahe he ki nahi mene esa nahi bola ....To kisne bola kya hua jawab do aap	1	1
1678	2097	Sir meri ek hi ichha h apse milna	1	1
2566	3054	hlw sir kha ho baat kro na	1	1
2389	2840	kya bhai kab aarhe ho	1	1
2412	2867	Ajao bhai jaan kha par ho	1	1
2982	3863	Sach me aap hi baat kr rhe ho ya phr hum aise hi khus ho rhe hai..???	2	2
944	1211	Tume ka firAlha se daro salman idar maza lelo akhirat me bahut tadpa tadpa ke marega	0	0
968	1240	Nich musalman kis ko bola pehle apne aap ko dekh tu aaj jaha par hai un musamano ki vajah se hai. Samga.hamko dhamki deta hai kon dekhna chahega ye sadi movie	0	0
1413	1794	Superb Song & Supper-Dupper Hit Movie jb koi nek kaam krne niklta h to khuda bhi uska sath deta h apne to 1 chhoti bachchi ko uske apno s milana chaha isme to sari Kaynat apka sth degi	2	2
1450	1838	salman sir aap kider ho plz message karo na mujhe plz	1	1
346	507	hiii modi jee kyai say ho aap hamarai bihar say aapko jada vott millai to bihar ko hi vull gyai hai pleace bihar ko taraki mai kijeeyai jaai say gujart ko tarrki mai kyahai	2	2
119	165	Har har modi ghar ghar modi modi ji aap cha gye congresiyo ke pet me dard ho raha hai apki yattra dekh ke	2	2
619	809	Kiya huwa bewde muhe kiyo latka ke behtha hai	0	0
2730	3367	kha ho yrrr. 4:36 bhi ho gye .. nxt year 4bje aaoge kya	1	1
2462	2919	aslaam o elekum bhai iam from pakistan kia ap bajrangi bhai jan k liye pakistan ana pasand krengy	1	1
897	1154	Salman bhai ji ko Namastey Salaam.ye Eid apki superhit ho.jai bajrangbali.	2	2
320	473	Sir g hum pad likh kar be barujgar ghum rhaye hain .....hun etni mahnat kar kye pade or etna padne k babjud be koi kaam nhi mil rha sab paise kye piche hain sir g ....plz hlp me sir g	0	0
800	1024	Salman meri family boht sharif he hm apni bf k sath ayashi waste apne maa baap ki izet khak me nai mila sekte	1	1
3214	4132	Salman bhai i knw ur a big celebrity par hakk toh hume bhi milna chaye apse baat krne ka !	1	1
2573	3063	bhaii ab avi jao	1	1
2942	3808	Fake coment hai koi nahi ane wala 4baje kisi ko reply nahi mila jhot.	1	1
1839	2266	Bhai pata nhi apku ye msg mile ya na mile par Kuch dino se apka dimag kharab hogaya h lagta ap ab do nao me sawaar hone ki koshish karrahe h behter yahi hoga k shahrukh ,aamir k jese ek imaan pe raho Allah hafiz	1	1
3823	4872	Salman bhai app batao ki india me ajubaa kya kya hai ek to Taj Mahal hai aur dusra kya hai mujhe app ka javab chaiye app kahte ho ki my sare coments padhta ho	1	1
11	15	Ye song nahi hi Ye MODI Ji ka mehnat ka rang hi wo ek din pura world me dikha denge ye to sirf Turkmenistan. hi hai.. Great MODi ji .........great	2	2
1942	2370	7 mins left......waiting bhai......	1	1
3150	4068	kaha hai salman	1	1
3144	4062	Tum kahe rahi ho oh fake hai agar real me aaye to tum kaise pahchano gi tum hahaha	0	0
3043	3945	Maahi baghel aram se	2	2
3461	4384	Hii bajrangi bhai jaan	1	1
1968	2398	5mnt left....yhoooooooo....salllluuuu	1	1
1048	1338	love uuuu shalluuuu	2	2
2520	2986	kya bhai aap bhi fak rahe ho 4.14 pm ho gaye abhi tak apne koi rep nahi diya bhai aisa mat we trust you...Every time	1	1
490	671	Allah se dua hai ke teri film supper supper supper flap ho malon	0	0
2813	3616	salman bahi please hum ko bhi chance dena bt krne ka thanks.	2	2
3012	3905	kamal krte ho panday ji sb fan ko itna wait kra rhe ho	2	2
1343	1706	Nice salman ji	2	2
949	1218	thnks alot sallu	2	2
792	1009	salman fans addme <3	1	1
190	263	Modi ji desh ke kanun me kuch Sridhar karyein	2	2
47	59	manka biswas kam jor hona...	0	0
8	12	Kash Modiji Aap Manmohan Singh se phly aa gy hoty....aj 2015 humara Desh kha phuch gya hota	2	2
3286	4206	bhai mko.farq ni pdta	0	0
2992	3879	sallu bhai kya baat h	1	1
1448	1836	Pak foje zinda bad <3	2	2
2463	2920	Hloo salu bhai......	1	1
3139	4056	Hahah okay ap sab ke marzi ok bye	1	1
2577	3067	bollywood prem bollywood fitness pleyar bollywood king bollywood god	1	1
2846	3664	Rinky Kumari salman hai vo alva nahi hai	2	2
1963	2392	3min bs bhaiii	1	1
1820	2246	sir kase pata chalega aap online ho aap se baat kase karunga	1	1
1782	2207	I'm so excited salman bhai	1	1
1379	1748	ye hai dhasu look..../ilu viii	2	2
2163	2596	Hello bade bhaijAAN	1	1
957	1228	waise bhi bete hm bs yaha ana bs kam kiye hai warna hm aksar yahi raha karte the	1	1
632	822	sir aap kuch dhyan nahi dete pLz plz plz	1	1
37	48	Baccho k Dilon dimag ko satya k raste pe lane k liya Is geet ko schoolo me vandana k rup me anivarya karna chaheye .	2	2
1277	1626	. Salman bhai apni life khud Kharab kr rahe ho ase krke alla hafiz	0	0
